X,Y,Z
-476.54389046245024,585.179877671364,1071.5948106187748
-494.3155173949913,613.7796825538828,1104.0556829268517
-522.989270378891,633.7748974119436,624.9363524602065
-532.282542399063,591.9859139945914,627.1266443815139
-540.1472970204748,603.3016831660102,538.0287078514145
-485.1966798808601,529.0173301761757,754.3748314519272
-488.7372629591787,952.2433618155762,1592.787973875948
-492.9163016404973,651.5755226856413,847.7067358136189
-486.6431235601565,585.9808216439851,848.1956
-486.65257457547295,585.9804928160463,794.6298
-483.40826230128414,509.7029118478827,839.9189904847942
-517.6767920709422,567.5809711775698,583.1756504045152
-488.5349671349586,914.5900443232356,1351.758653909344
-515.8672020269355,564.4881771429335,813.6248674644685
-487.5093216660175,547.2866108620017,944.6289209393308
-502.7321108407509,672.2053100353744,1043.3166418591709
-516.8346065655976,665.8058325207294,721.7157870300366
-444.826394298982,506.99300080448654,1208.366245865617
-486.65340300401635,585.972576147454,655.8756
-477.712512418434,504.3530973741706,957.4229948168029
-486.59019160478783,587.1317502880385,938.6322543240594
-250.93354838473624,511.36186674488636,1189.7827239109429
-543.9716528342856,703.2215612624028,944.0880661428065
-483.18311831309757,537.0638031042022,960.367185397912
-486.1656873403808,596.337489631236,1256.1131946518708
-483.477503767881,625.8146417887865,1006.7673375489289
-485.5319820185025,568.7551028958571,525.8097047660062
-520.2008121726708,587.9637876511782,844.0955707188342
-487.42504402411464,602.773463246974,1171.7165433335524
-492.9815125832647,588.5549380809384,537.571465011819
-482.77471642042565,652.9086734282503,1199.6746451716267
-473.3018593504553,481.38122643685483,491.5879019882614
-505.4761146744845,613.6885515305388,843.9101710391915
-501.36047619573856,585.8557561254092,716.914096816343
-487.0103579887427,562.5297957799992,549.1073432425319
-555.2798891853681,635.1981474932854,660.760256129132
-486.64021283217016,585.9930752079069,642.912
-482.96811589296976,766.1122456156361,1227.6319341054893
-486.64894017286724,585.981844513072,914.8220000000006
-467.23713876950524,594.8090107037478,1121.6113676683588
-482.7718695341405,775.4129190032202,1329.7528970409428
-486.4571377936318,606.1680259066359,935.2623143849349
-505.41116401673685,542.0196968538282,433.7773061871312
-486.66123816058735,585.9751278005386,1066.39312
-486.64962008651037,585.9663692012975,995.2264
-520.7211868213492,577.6111719212038,1006.943839877013
-469.421659540405,640.7634106234682,1590.8816721918452
-548.1901011399534,531.3027089878598,656.601247269458
-534.6699615019247,537.6153585715281,690.1376974264786
-486.64055500256427,585.9796586852026,1087.3996000000002
1850.2873313965829,751.8437195058855,-849.8051529152399
-485.494182505091,568.1841203063168,568.2169182405372
-515.6292741680195,639.5025952832066,630.7120058823922
-450.7736585690027,568.5422539461279,885.5482424995068
-490.215363612474,449.58255040341663,853.0739917436672
-482.98802102916807,764.568330779219,1210.6113658049421
-486.87830270406766,576.6942647667424,1074.122187244376
-483.0423095576475,535.0288392246384,1031.4448439300238
-501.0226210703031,641.1599759617968,1092.47634106287
-465.3090750474696,512.6654426321007,790.9650548961399
-534.8654202178118,538.4000046829591,600.1235282355128
-528.647985273139,591.4934882164204,516.968337976021
-542.6664223583821,700.580020766357,905.696995769003
-486.64017618743765,585.9821407001904,1307.983
-488.23814706692383,607.667033835091,728.9049253079709
-486.74146310524657,578.9955418714214,638.2662252810937
-461.5795806003166,549.9800890068867,993.0038937369076
-486.64211699673706,585.9915916395094,969.7217600000009
-486.4205294946189,576.8038234113167,671.0143800406765
-488.32979982682537,586.2890176217797,1052.0359276942675
-485.09018851362566,564.2798189899368,1310.3520766741722
-482.15748230420877,560.851523897973,784.5938291702805
-486.6394329385316,585.9774565191698,933.4554
-490.1341474677113,452.6830896136053,816.4793508475201
-486.64659453139575,585.9783082808423,878.9476
-487.4212123522534,499.7997774557555,767.289174099554
-500.58760498594825,585.966189555628,1024.7830367163988
-530.8231333586311,531.6972704876889,950.3496733560199
-468.7045607710611,585.597534444252,1044.6325936000674
-509.5642744927536,730.4413458710621,839.3061669258014
-477.44739611848036,593.2612472390829,890.787284203337
-500.95106764010643,492.6871015082685,928.7047308670949
-507.15677213576737,576.3661116862463,849.7718698108888
-485.01677516374957,641.6553768034942,1075.5959470596156
-486.66002186877085,585.9935374322008,1272.386
-487.6792922054324,557.2965076504263,692.5085873481164
-487.82391863094017,553.0836088213628,925.1095426753068
-461.05535230843736,479.41698646973646,841.8464363358833
-486.4338795336855,578.9307527560052,687.1275794438899
-484.5378969689441,676.0912827301479,1044.8721124333758
-486.653910799831,585.9764308569876,1167.7996
-487.45875591591084,625.3944747380885,860.69141214546
-486.6549687537854,585.9927010193353,858.1650000000001
-545.3439211243121,589.8025385041507,866.6061629602086
-538.4236804995326,717.0220693232258,1305.2835967340661
-497.3827937764263,595.8132590441767,725.3486106315778
885.4532235766601,596.8264748891286,-760.4843136404124
-442.13764789196784,428.8061976656429,1060.636210713962
-507.2243530274204,537.7951620672795,548.0007619445178
-485.1360367579807,571.7539884913253,896.8503875005176
-498.87980159768995,546.7516152398689,838.8293591155825
-482.21697167712364,698.7781408251701,868.8449455982351
-534.8988912179595,586.5746524915444,856.1706438563826
